skjemanavn;navn_i_rapporteket;ledetekst;obligatorisk;type;listeverdier;listetekst;normalintervall_start_numerisk;normalintervall_slutt_numerisk;maksintervall_start_numerisk;maksintervall_slutt_numerisk;normalintervall_start_dato;normalintervall_slutt_dato;maksintervall_start_dato;maksintervall_slutt_dato;antall_tegn;lovlige_tegn;desimaler;aktiveringsspoersmaal;underspoersmaal;innfoert_dato;utfaset_dato;tabell;fysisk_feltnavn;kommentar;variabel_id;hjelpetekst
Basisskjema;;Hjertesvikt;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;HJERTESVIKT;;BASEREG_HJERTESVIKT;
Basisskjema;;Hjertesvikt;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;HJERTESVIKT;;BASEREG_HJERTESVIKT;
Basisskjema;;Hjertesvikt;Ja;Listevariabel;9;Ukjent;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;HJERTESVIKT;;BASEREG_HJERTESVIKT;
Basisskjema;;TIA/slag;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;TIA_SLAG;;BASEREG_TIA_SLAG;
Basisskjema;;TIA/slag;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;TIA_SLAG;;BASEREG_TIA_SLAG;
Basisskjema;;TIA/slag;Ja;Listevariabel;9;Ukjent;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;TIA_SLAG;;BASEREG_TIA_SLAG;
Basisskjema;;Karsykdom;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Ja;Nei;01.01.1980;;basereg;KARSYKDOM;;BASEREG_KARSYKDOM;
Basisskjema;;Karsykdom;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Ja;Nei;01.01.1980;;basereg;KARSYKDOM;;BASEREG_KARSYKDOM;
Basisskjema;;Karsykdom;Ja;Listevariabel;9;Ukjent;;;;;;;;;;;;Ja;Nei;01.01.1980;;basereg;KARSYKDOM;;BASEREG_KARSYKDOM;
Basisskjema;;Type karsykdom;Ja;Listevariabel;1;Koronarsykdom;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;TYPE_KARSYKDOM;;BASEREG_TYPE_KARSYKDOM;
Basisskjema;;Type karsykdom;Ja;Listevariabel;2;Perifer karsykdom;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;TYPE_KARSYKDOM;;BASEREG_TYPE_KARSYKDOM;
Basisskjema;;Type karsykdom;Ja;Listevariabel;3;Annen karsykdom (eks. aortaplakk);;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;TYPE_KARSYKDOM;;BASEREG_TYPE_KARSYKDOM;
Basisskjema;;Kongenitt hjertefeil;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;HJERTEFEIL;;BASEREG_HJERTEFEIL;
Basisskjema;;Kongenitt hjertefeil;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;HJERTEFEIL;;BASEREG_HJERTEFEIL;
Basisskjema;;Kongenitt hjertefeil;Ja;Listevariabel;9;Ukjent;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;HJERTEFEIL;;BASEREG_HJERTEFEIL;
Basisskjema;;OSAS/KOLS;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;OSAS_KOLS;;BASEREG_OSAS_KOLS;
Basisskjema;;OSAS/KOLS;Ja;Listevariabel;1;OSAS;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;OSAS_KOLS;;BASEREG_OSAS_KOLS;
Basisskjema;;OSAS/KOLS;Ja;Listevariabel;2;KOLS;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;OSAS_KOLS;;BASEREG_OSAS_KOLS;
Basisskjema;;OSAS/KOLS;Ja;Listevariabel;9;Ukjent;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;OSAS_KOLS;;BASEREG_OSAS_KOLS;
Basisskjema;;Kardiomyopati;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Ja;Nei;01.01.1980;;basereg;KARDIOMYOPATI;;BASEREG_KARDIOMYOPATI;
Basisskjema;;Kardiomyopati;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Ja;Nei;01.01.1980;;basereg;KARDIOMYOPATI;;BASEREG_KARDIOMYOPATI;
Basisskjema;;Kardiomyopati;Ja;Listevariabel;9;Ukjent;;;;;;;;;;;;Ja;Nei;01.01.1980;;basereg;KARDIOMYOPATI;;BASEREG_KARDIOMYOPATI;
Basisskjema;;Type kardiomyopati;Ja;Listevariabel;1;ICM;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;TYPE_KARDIOMYOPATI;;BASEREG_TYPE_KARDIOMYOPATI;ICM: iskemisk kardiomyopati (CM) DCM: dilatert kardiomyopati HCM: hypertrof kardiomyopati AVC: arytmogen ventrikkel kardiomyopati (ARVC...) Kanalopati: lang/kort QT syndrom, CPVT, Brugada el TCM: takykardi kardiomyopati idioCM : idiopatisk kardiomyopati Annen
Basisskjema;;Type kardiomyopati;Ja;Listevariabel;2;DCM;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;TYPE_KARDIOMYOPATI;;BASEREG_TYPE_KARDIOMYOPATI;ICM: iskemisk kardiomyopati (CM) DCM: dilatert kardiomyopati HCM: hypertrof kardiomyopati AVC: arytmogen ventrikkel kardiomyopati (ARVC...) Kanalopati: lang/kort QT syndrom, CPVT, Brugada el TCM: takykardi kardiomyopati idioCM : idiopatisk kardiomyopati Annen
Basisskjema;;Type kardiomyopati;Ja;Listevariabel;3;HCM;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;TYPE_KARDIOMYOPATI;;BASEREG_TYPE_KARDIOMYOPATI;ICM: iskemisk kardiomyopati (CM) DCM: dilatert kardiomyopati HCM: hypertrof kardiomyopati AVC: arytmogen ventrikkel kardiomyopati (ARVC...) Kanalopati: lang/kort QT syndrom, CPVT, Brugada el TCM: takykardi kardiomyopati idioCM : idiopatisk kardiomyopati Annen
Basisskjema;;Type kardiomyopati;Ja;Listevariabel;4;AVC;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;TYPE_KARDIOMYOPATI;;BASEREG_TYPE_KARDIOMYOPATI;ICM: iskemisk kardiomyopati (CM) DCM: dilatert kardiomyopati HCM: hypertrof kardiomyopati AVC: arytmogen ventrikkel kardiomyopati (ARVC...) Kanalopati: lang/kort QT syndrom, CPVT, Brugada el TCM: takykardi kardiomyopati idioCM : idiopatisk kardiomyopati Annen
Basisskjema;;Type kardiomyopati;Ja;Listevariabel;5;Kanalopati;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;TYPE_KARDIOMYOPATI;;BASEREG_TYPE_KARDIOMYOPATI;ICM: iskemisk kardiomyopati (CM) DCM: dilatert kardiomyopati HCM: hypertrof kardiomyopati AVC: arytmogen ventrikkel kardiomyopati (ARVC...) Kanalopati: lang/kort QT syndrom, CPVT, Brugada el TCM: takykardi kardiomyopati idioCM : idiopatisk kardiomyopati Annen
Basisskjema;;Type kardiomyopati;Ja;Listevariabel;6;TCM;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;TYPE_KARDIOMYOPATI;;BASEREG_TYPE_KARDIOMYOPATI;ICM: iskemisk kardiomyopati (CM) DCM: dilatert kardiomyopati HCM: hypertrof kardiomyopati AVC: arytmogen ventrikkel kardiomyopati (ARVC...) Kanalopati: lang/kort QT syndrom, CPVT, Brugada el TCM: takykardi kardiomyopati idioCM : idiopatisk kardiomyopati Annen
Basisskjema;;Type kardiomyopati;Ja;Listevariabel;7;idioCM;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;TYPE_KARDIOMYOPATI;;BASEREG_TYPE_KARDIOMYOPATI;ICM: iskemisk kardiomyopati (CM) DCM: dilatert kardiomyopati HCM: hypertrof kardiomyopati AVC: arytmogen ventrikkel kardiomyopati (ARVC...) Kanalopati: lang/kort QT syndrom, CPVT, Brugada el TCM: takykardi kardiomyopati idioCM : idiopatisk kardiomyopati Annen
Basisskjema;;Type kardiomyopati;Ja;Listevariabel;99;Annen;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;TYPE_KARDIOMYOPATI;;BASEREG_TYPE_KARDIOMYOPATI;ICM: iskemisk kardiomyopati (CM) DCM: dilatert kardiomyopati HCM: hypertrof kardiomyopati AVC: arytmogen ventrikkel kardiomyopati (ARVC...) Kanalopati: lang/kort QT syndrom, CPVT, Brugada el TCM: takykardi kardiomyopati idioCM : idiopatisk kardiomyopati Annen
Basisskjema;;Pacemaker/hjertestarter;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;PACEMAKER;;BASEREG_PACEMAKER;
Basisskjema;;Pacemaker/hjertestarter;Ja;Listevariabel;1;Pacemaker;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;PACEMAKER;;BASEREG_PACEMAKER;
Basisskjema;;Pacemaker/hjertestarter;Ja;Listevariabel;2;ICD;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;PACEMAKER;;BASEREG_PACEMAKER;
Basisskjema;;Pacemaker/hjertestarter;Ja;Listevariabel;3;CRT-P;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;PACEMAKER;;BASEREG_PACEMAKER;
Basisskjema;;Pacemaker/hjertestarter;Ja;Listevariabel;4;CRT-D;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;PACEMAKER;;BASEREG_PACEMAKER;
Basisskjema;;Pacemaker/hjertestarter;Ja;Listevariabel;9;Ukjent;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;PACEMAKER;;BASEREG_PACEMAKER;
Basisskjema;;Ejeksjonsfraksjon;Ja;Listevariabel;1;Normal (≥ 50);;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;EJEKFRAK;;BASEREG_EJEKFRAK;
Basisskjema;;Ejeksjonsfraksjon;Ja;Listevariabel;2;Litt redusert (30 – 50);;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;EJEKFRAK;;BASEREG_EJEKFRAK;
Basisskjema;;Ejeksjonsfraksjon;Ja;Listevariabel;3;Sterkt redusert (< 30);;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;EJEKFRAK;;BASEREG_EJEKFRAK;
Basisskjema;;Ejeksjonsfraksjon;Ja;Listevariabel;9;Ukjent;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;EJEKFRAK;;BASEREG_EJEKFRAK;
Basisskjema;;Årstall for debut arytmi;Nei;Tallvariabel;;;birthYear;todayYear;birthYear;todayYear;;;;;4;;0;Nei;Nei;25.04.2017;;basereg;DEBUT_ARYT_AAR;;BASEREG_DEBUT_ARYT_AAR;Angi årstall for debut arytmi
Basisskjema;;Er pasienten med i en ablasjonsstudie?;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Ja;Nei;01.01.1980;;basereg;STUDIE;;BASEREG_STUDIE;
Basisskjema;;Er pasienten med i en ablasjonsstudie?;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Ja;Nei;01.01.1980;;basereg;STUDIE;;BASEREG_STUDIE;
Basisskjema;;Hvilken studie er pasienten med i?;Ja;Dynamisk Listevariabel;;;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;STUDIE_ID;"Alternativer for studier fylles inn dynamisk basert på data lagt inn på ""administrere studier"" siden. Reelle alternativer for studier kan finnes i datadump av ""study"" tabellen.";BASEREG_STUDIE_ID;
Basisskjema;;Symptomer;Ja;Listevariabel;11;I: Ingen;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;EHRA_SYMPT;;BASEREG_EHRA_SYMPT;Mild: Ingen påvirkning av normal daglig aktivitet og symptomene er i liten grad plagsomme for pasienten Moderat: Ingen påvirkning av normal daglig aktivitet, men pasienten er plaget av symptomene Alvorlig: Normal daglig aktivitet er påvirket Invalidiserende: Normal daglig aktivitet er ikke lenger mulig
Basisskjema;;Symptomer;Ja;Listevariabel;21;IIa: Mild;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;EHRA_SYMPT;;BASEREG_EHRA_SYMPT;Mild: Ingen påvirkning av normal daglig aktivitet og symptomene er i liten grad plagsomme for pasienten Moderat: Ingen påvirkning av normal daglig aktivitet, men pasienten er plaget av symptomene Alvorlig: Normal daglig aktivitet er påvirket Invalidiserende: Normal daglig aktivitet er ikke lenger mulig
Basisskjema;;Symptomer;Ja;Listevariabel;22;IIb: Moderat;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;EHRA_SYMPT;;BASEREG_EHRA_SYMPT;Mild: Ingen påvirkning av normal daglig aktivitet og symptomene er i liten grad plagsomme for pasienten Moderat: Ingen påvirkning av normal daglig aktivitet, men pasienten er plaget av symptomene Alvorlig: Normal daglig aktivitet er påvirket Invalidiserende: Normal daglig aktivitet er ikke lenger mulig
Basisskjema;;Symptomer;Ja;Listevariabel;31;III: Alvorlig;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;EHRA_SYMPT;;BASEREG_EHRA_SYMPT;Mild: Ingen påvirkning av normal daglig aktivitet og symptomene er i liten grad plagsomme for pasienten Moderat: Ingen påvirkning av normal daglig aktivitet, men pasienten er plaget av symptomene Alvorlig: Normal daglig aktivitet er påvirket Invalidiserende: Normal daglig aktivitet er ikke lenger mulig
Basisskjema;;Symptomer;Ja;Listevariabel;41;IV: Invalidiserende;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;EHRA_SYMPT;;BASEREG_EHRA_SYMPT;Mild: Ingen påvirkning av normal daglig aktivitet og symptomene er i liten grad plagsomme for pasienten Moderat: Ingen påvirkning av normal daglig aktivitet, men pasienten er plaget av symptomene Alvorlig: Normal daglig aktivitet er påvirket Invalidiserende: Normal daglig aktivitet er ikke lenger mulig
Basisskjema;;Antiarytmika;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Ja;Nei;01.01.1980;;basereg;ANTIARYTMIKA;;BASEREG_ANTIARYTMIKA;
Basisskjema;;Antiarytmika;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Ja;Nei;01.01.1980;;basereg;ANTIARYTMIKA;;BASEREG_ANTIARYTMIKA;
Basisskjema;;Betablokkere (Ikke for hypertensjon);Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_BETABLOKKERE;;BASEREG_ANTIARYTMIKA_BETABLOKKERE;
Basisskjema;;Betablokkere (Ikke for hypertensjon);Ja;Listevariabel;1;Ja;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_BETABLOKKERE;;BASEREG_ANTIARYTMIKA_BETABLOKKERE;
Basisskjema;;Kalsiumantagonist;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_KALSIUMANTAGONIST;;BASEREG_ANTIARYTMIKA_KALSIUMANTAGONIST;
Basisskjema;;Kalsiumantagonist;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_KALSIUMANTAGONIST;;BASEREG_ANTIARYTMIKA_KALSIUMANTAGONIST;
Basisskjema;;Dronedarone;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_DRONEDARAONE;;BASEREG_ANTIARYTMIKA_DRONEDARAONE;
Basisskjema;;Dronedarone;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_DRONEDARAONE;;BASEREG_ANTIARYTMIKA_DRONEDARAONE;
Basisskjema;;Amiodarone;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_AMIODARONE;;BASEREG_ANTIARYTMIKA_AMIODARONE;
Basisskjema;;Amiodarone;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_AMIODARONE;;BASEREG_ANTIARYTMIKA_AMIODARONE;
Basisskjema;;Sotalol;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_SOTALOL;;BASEREG_ANTIARYTMIKA_SOTALOL;
Basisskjema;;Sotalol;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_SOTALOL;;BASEREG_ANTIARYTMIKA_SOTALOL;
Basisskjema;;Flecainide;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_FLECAINIDE;;BASEREG_ANTIARYTMIKA_FLECAINIDE;
Basisskjema;;Flecainide;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_FLECAINIDE;;BASEREG_ANTIARYTMIKA_FLECAINIDE;
Basisskjema;;Propafenone;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Ja;01.01.1980;;basereg;ANTIARYTMIKA_PROPAFENONE;;BASEREG_ANTIARYTMIKA_PROPAFENONE;
